verse_key,translation
4:10,sungguh makan harta anak yatim zalim tel api perut masuk api neraka
4:11,allah syariat wajib kepada bagi waris anak orang anak perempuan anak perempuan tiga harta tinggal anak perempuan oleh harta tinggal enam harta tinggal tinggal anak tinggal anak waris ibu tiga tinggal saudara ibu enam penuh wasiat bayar utang orang tua manfaat bagi tetap allah sungguh allah maha mahabijaksana
4:12,bagi dua harta tinggal anak anak empat harta tinggal penuh wasiat bayar utang istri oleh empat harta tinggal anak anak istri oleh delap harta tinggal penuh wasiat bayar tinggal perempuan tinggal ayah tinggal anak saudara ibu saudara perempuan ibu jenis saudara enam harta ibu tiga penuh wasiat bayar utang susah ahli waris tentu allah allah maha maha santun
4:13,hukum allah barangsiapa taat allah masuk alir bawah kekal dalam menang agung
4:14,barangsiapa durhaka allah langgar niscaya allah masuk api neraka kekal dalam azab hina
4:15,perempuan buat keji orang saksi saksi saksi kurung perempuan rumah temu ajal allah jalan
4:16,orang buat keji ilah hukum tobat baik biar sungguh allah maha terima tobat maha sayang
4:17,sungguh tobat allah jahat erti tobat tobat terima allah allah maha mahabijaksana
4:18,tobat terima allah jahat ajal baru tobat terima tobat tinggal kafir sedia azab pedih
4:19,iman halal waris perempuan jalan paksa susah ambil kecuali buat keji nyata gaul patut suka sabar suka allah jadi baik
4:20,ganti istri istri harta ambil dari ambil jalan tuduh dusta tanggung dosa nyata
4:21,ambil gaul ambil janji kuat ikat nikah
4:22,nikah nikah ayah kecuali jadi lampau sungguh buat keji benci allah jalan tempuh
4:23,haram nikah perempuan perempuan ayah perempuan ibu perempuan perempuan perempuan perempuan susu perempuan susu istri mertua perempuan istri anak tiri pelihara istri campur campur istri cerai dosa nikah haram bagi anak kandung menantu haram kumpul nikah perempuan saudara kecuali lampau sungguh allah maha kam maha sayang
4:24,haram nikah perempuan suam kecuali hamba sahaya perempuan tawan perang milik tetap allah halal bagi usaha harta nikah zina nikmat dapat beri maskawin wajib rela tetap sungguh allah maha mahabijaksana
4:25,barangsiapa biaya nikah perempuan merdeka iman halal nikah perempuan iman hamba sahaya milik allah iman turun nikah izin tuan ilah maskawin pelihara zina perempuan ambil piara rumah tangga suam buat keji zina hukum hukum merdeka suam boleh nikah hamba sahaya takut sulit jaga buat zina sabar bagi allah maha kam maha sayang
4:26,allah terang kepada hidup orang nabi saleh terima tobat allah maha mahabijaksana
4:27,allah terima tobat ikut ingin paling benar
4:28,allah ringan kepada manusia cipta sifat lemah
4:29,iman makan harta sama jalan batil kecuali dagang laku dasar suka suka bunuh diri sungguh allah maha sayang kepada
4:30,barangsiapa buat langgar hukum zalim masuk neraka mudah allah
4:31,jauh larang kerja niscaya hapus masuk mulia surga
4:32,iri hati karunia lebih allah usaha perempuan usaha mohon allah sungguh allah maha
4:33,perempuan tetap ahli waris tinggal orang tua karib kerabat sumpah setia beri bagi sungguh allah maha saksi
4:34,suami lindung perempuan istri allah lebih perempuan nafkah harta saleh taat allah jaga suami allah jaga khawatir nusyuz nasihat tinggal tidur pisah ranjang pukul taat alas susah sungguh allah mahatinggi mahabesar
4:35,khawatir sengketa kirim juru damai keluarga juru damai keluarga perempuan juru damai ada baik niscaya allah taufik sungguh allah mahateliti maha kenal
4:36,sembah allah orang tua yatim miskin tetangga tetangga teman jawat ibnu sabil hamba sahaya milik sungguh allah suka orang sombong bangga
4:37,orang kikir suruh orang buat kikir sembunyi karunia allah sedia kafir azab hina
4:38,infak harta ria orang puji iman allah barangsiapa jadi setan teman tahu setan teman jahat
4:39,berat iman allah infak rezeki allah allah maha
4:40,sungguh allah zalim dzarrah kebaji dzarrah niscaya allah melipatgandakannya pahala
4:41,orang kafir saksi rasul umat engkau muhammad saksi
4:42,orang kafir orang durhaka rasul muhammad harap rata tanah kubur hancur luluh tanah sembunyi jadi allah
4:43,orang iman dekat salat mabuk sadar ucap hampir masjid junub kecuali dar lewat jalan mandi mandi junub sakit jalan habis buang air sentuh perempuan air tayamum debu suci usap wajah tangan debu sungguh allah maha maaf maha kam
4:44,perhati orang kitab taurat beli sesat sesat simpang jalan
4:45,allah allah lindung allah tolong bagi
4:46,orang yahudi ubah kata dengar dengar engkau muhammad dengar raa ina lidah cela agama dengar patuh dengar perhati allah laknat kafir iman kecuali
4:47,kitab rim turun benar kitab ubah mu putar laknat laknat buat maksiat sabat sabtu tetap allah laku
4:48,sungguh allah ampun dosa syirik ampun dosa syirik hendak barangsiapa sekutu allah sungguh buat dosa
4:49,engkau perhati anggap suci orang yahudi nasrani allah suci hendak zalim
4:50,perhati betapa dusta allah buat dosa nyata
4:51,perhati kitab taurat percaya jibt thaghut kafir musyrik mekah jalan iman
4:52,laknat allah barangsiapa laknat allah niscaya engkau tolong bagi
4:53,raja kuasa kebaji manusia
4:54,dengki manusia muhammad karunia allah sungguh kitab hikmah keluarga ibrahim raja kuasa
4:55,dengki iman halang manusia iman neraka jahanam api
4:56,sungguh kafir kelak masuk neraka kali kulit hangus ganti kulit rasa azab sungguh allah mahabijaksana
4:57,iman kebaji kelak masuk surga alir bawah kekal dalam suci masuk teduh nyaman
4:58,sungguh allah suruh amanat hak terima tetap hukum manusia tetap adil sungguh allah ajar kepada sungguh allah maha dengar maha
4:59,iman taat allah taat rasul muhammad ulil amri pegang kuasa beda dapat kembali allah rasul sunnahnya iman allah utama bagi akibat
4:60,engkau muhammad perhati aku iman turun kepada turun belum tetap hukum thaghut perintah ingkar thaghut setan sesat sesat
4:61,mari patuh turun allah patuh rasul niscaya engkau muhammad orang munafik halang keras dari
4:62,hal kelak musibah timpa orang munafik sebab buat tangan kepada muhammad sumpah allah baik damai
4:63,sungguh allah hati paling ilah nasihat kata bekas jiwa
4:64,utus rasul taat izin allah sungguh zalim kepada muhammad mohon ampun allah rasul mohon ampun niscaya dapat allah maha terima tobat maha sayang
4:65,tuhan iman jadi engkau muhammad hakim perkara selisih berat hati putus engkau terima sepenuh
4:66,perintah bunuh diri keluar kampung halaman laku kecuali laksana perintah niscaya kuat iman
4:67,pahala sisi
4:68,tunjuk jalan lurus
4:69,barangsiapa taat allah rasul muhammad orang nikmat allah nabi cinta benar mati syahid saleh teman
4:70,karunia allah allah maha
4:71,iman bersiapsiagalah maju medan tempur kelompok maju serentak
4:72,sungguh orang enggan medan tempur timpa musibah sungguh allah nikmat kepada perang
4:73,sungguh karunia menang allah hubung kasih sayang oleh menang agung
4:74,jual hidup dunia hidup akhirat perang jalan allah barangsiapa perang jalan allah gugur oleh menang pahala
4:75,perang jalan allah bela orang lemah perempuan doa ya tuhan keluar negeri mekah duduk zalim ilah lindung ilah tolong
4:76,iman perang jalan allah kafir perang jalan thaghut perang setan sungguh tipu daya setan lemah
4:77,engkau perhati tahan tangan perang laksana salat tunai zakat wajib perang golong munafik takut manusia musuh takut allah takut ya tuhan engkau wajib perang engkau tunda wajib perang senang dunia akhirat takwa pahala perang zalim
4:78,mana mati kendati benteng kukuh oleh baik sisi allah timpa keburu engkau sisi munafik paham bicara
4:79,kebaji oleh sisi allah keburu timpa salah diri utus muhammad rasul manusia allah saksi
4:80,barangsiapa taat rasul muhammad sungguh taat allah barangsiapa paling taat tahu utus muhammad pelihara
4:81,munafik wajib pergi sisi muhammad atur siasat malam ambil putus allah catat siasat atur malam paling tawakal allah allah lindung
4:82,hayati dalam allah temu tentang dalam
4:83,berita aman takut langsung siar serah rasul ulil amri benar tahu resmi rasul ulil amri karunia rahmat allah kepada ikut setan kecuali
4:84,rang engkau muhammad jalan allah engkau beban diri kobar semangat iman perang allah tolak patah serang kafir allah kuat keras siksa
4:85,barangsiapa tolong tolong niscaya oleh pahala nya barangsiapa tolong tolong buruk niscaya pikul dosa nya allah mahakuasa
4:86,hormat salam hormat balas hormat balas hormat padan dengan sungguh allah hitung
4:87,allah tuhan kumpul kiamat ragu kata nya allah
4:88,pecah golong hadap munafik allah kembali kafir sebab usaha tunjuk orang biar sesat allah barangsiapa biar sesat allah jalan tunjuk bagi
4:89,kafir kafir jadi mu pindah jalan allah paling tawan bunuh temu jadi teman setia tolong
4:90,kecuali lindung kaum kaum janji damai orang kepada hati berat rang rang kaum allah niscaya kuasa hadap merang biar merang tawar damai kepada serah allah jalan bagi tawan bunuh
4:91,kelak dapat hidup aman sama aman kaum kali ajak fitnah syirik terjun dalam biar tawar damai kepada tahan tangan merang tawan bunuh temu orang kepada alas nyata rang tawan bunuh
4:92,patut iman bunuh iman kecuali salah sengaja barangsiapa bunuh iman salah merdeka hamba sahaya iman bayar tebus serah keluarga si bunuh kecuali keluarga si bunuh bebas bayar si bunuh kaum musuh orang iman si bunuh merdeka hamba sahaya iman si bunuh kaum kafir janji damai si bunuh bayar tebus serah keluarga si bunuh merdeka hamba sahaya iman barangsiapa hamba sahaya si bunuh puasa tobat allah allah maha mahabijaksana
4:93,barangsiapa bunuh iman sengaja balas neraka jahanam kekal dalam allah murka laknat sedia azab bagi
4:94,iman pergi perang jalan allah teliti cari terang orang salam kepada iman bunuh maksud cari harta benda hidup dunia sisi allah harta juga allah kepada teliti sungguh allah mahateliti kerja
4:95,orang iman duduk perang uzur halang orang jihad jalan allah harta jiwa allah lebih derajat jihad harta jiwa duduk perang halang allah janji pahala surga allah lebih jihad orang duduk pahala
4:96,derajat ampun rahmat allah kam maha sayang
4:97,sungguh cabut nyawa malaikat zalim malaikat tindas bumi mekah malaikat bumi allah luas hijrah bumi tempat neraka jahanam jahanam
4:98,kecuali tindas perempuan daya jalan hijrah
4:99,allah maaf allah maha maaf maha kam
4:100,barangsiapa hijrah jalan allah niscaya bumi hijrah luas rezeki barangsiapa rumah maksud hijrah allah mati timpa tuju sungguh pahala tetap sisi allah allah maha kam maha sayang
4:101,pergi bumi dosa salat takut serang orang kafir sungguh orang kafir musuh nyata bagi
4:102,engkau muhammad sahabat engkau laksana salat golong diri salat serta sandang senjata salat serta sujud sempurna rakaat pindah belakang hadap musuh golong salat salat dengan siaga sandang senjata kafir lengah senjata harta benda serbu letak susah hujan sakit siaga sungguh allah sedia azab hina kafir
4:103,selesai salat mu ingat allah diri duduk baring aman laksana salat sungguh salat wajib tentu iman
4:104,hati lemah kejar musuh derita sakit tahu derita sakit rasa harap allah harap allah maha mahabijaksana
4:105,sungguh turun kitab kepada muhammad bawa benar engkau adil manusia ajar allah kepada engkau tentang orang salah bela orang khianat
4:106,mohon ampun allah sungguh allah maha kam maha sayang
4:107,debat bela khianat sungguh allah suka khianat gelimang dosa
4:108,sembunyi manusia sembunyi allah allah serta malam tetap putus rahasia allah liput kerja
4:109,debat bela hidup dunia tentang allah bela kiamat lindung azab allah
4:110,barangsiapa buat jahat aniaya mohon ampun allah niscaya allah maha kam maha sayang
4:111,barangsiapa buat dosa sungguh kerja sulit allah maha
4:112,barangsiapa buat salah dosa tuduh orang salah sungguh pikul bohong dosa nyata
4:113,karunia allah kepada muhammad golong keras sesat sesat bahaya allah turun kitab hikmah sunnah kepada ajar kepada engkau tahu karunia allah limpah kepada
4:114,baik bicara rahasia kecuali bicara rahasia orang suruh orang sedekah buat baik ada damai manusia barangsiapa buat cari rida allah kelak beri pahala
4:115,barangsiapa tentang rasul muhammad benar bagi ikut jalan jalan mukmin biar sesat laku masuk neraka jahanam
4:116,allah ampun dosa syirik sekutu allah ampun dosa hendak barangsiapa sekutu allah sungguh sesat
4:117,sembah allah berhala sembah setan durhaka
4:118,laknat allah setan ambil
4:119,sesat bangkit kosong suruh potong binatang ternak potong suruh ubah cipta allah ubah barangsiapa jadi setan lindung allah sungguh derita rugi nyata
4:120,setan bangkit kosong setan janji tipu belaka
4:121,tipu tempat neraka jahanam lari dari
4:122,orang iman amal kebaji kelak masuk surga alir bawah kekal dalam janji allah kata allah
4:123,pahala allah ahli kitab barangsiapa jahat niscaya balas sesuai jahat lindung tolong allah
4:124,barangsiapa amal kebaji perempuan iman masuk surga zalim
4:125,agama orang ikhlas serah allah baik ikut agama ibrahim lurus allah pilih ibrahim sayang
4:126,milik langit bumi tahu allah liput
4:127,fatwa kepada perempuan allah fatwa kepada baca kepada fatwa perempuan yatim maskawin tetap nikah pandang lemah allah suruh urus yatim adil kebaji kerja sungguh allah maha
4:128,perempuan khawatir suami nusyuz sikap acuh ada damai damai manusia tabiat kikir baik gaul istri pelihara diri nusyuz sikap acuh acuh sungguh allah mahateliti kerja
4:129,laku adil mu buat cenderung cinta biar ada baik pelihara curang sungguh allah maha kam maha sayang
4:130,cerai allah cukup allah mahaluas mahabijaksana
4:131,milik langit bumi sungguh perintah orang kitab suci kepada takwa allah ingkar tahu milik langit bumi allah mahakaya maha puji
4:132,milik langit bumi allah pelihara
4:133,allah niscaya manusia datang umat ganti allah mahakuasa buat
4:134,barangsiapa pahala dunia tahu sisi allah pahala dunia akhirat allah maha dengar maha
4:135,iman tegak adil saksi allah diri kaum kerabat dakwa kaya miskin allah maslahat baik ikut hawa nafsu simpang benar memutarbalikkan enggan saksi tahu allah mahateliti kerja
4:136,iman tetap iman allah muhammad kitab turun kitab turun barangsiapa ingkar allah sungguh orang sesat
4:137,sungguh iman kafir iman kafir tambah kafir allah ampun jalan lurus
4:138,kabar munafik siksa pedih
4:139,jadi kafir pimpin tinggal mukmin cari kuat sisi orang kafir tahu kuat milik allah
4:140,sungguh allah turun tentu bagi kitab dengar allah ingkar kafir duduk pasuk bicara duduk sungguh allah kumpul munafik kafir neraka jahanam
4:141,orang peristiwa diri menang allah perang orang kafir menang bela orang mukmin allah putus kiamat allah jalan orang kafir kalah iman
4:142,sungguh orang munafik tipu allah tipu diri salat laku malas ria puji hadap manusia allah kecuali
4:143,ragu iman kafir golong orang iman golong orang kafir barangsiapa biar sesat allah jalan tunjuk bagi
4:144,iman jadi kafir pimpin mukmin alas allah hukum
4:145,sungguh munafik tempat tingkat neraka tolong
4:146,kecuali tobat baik pegang teguh agama allah tulus ikhlas jalan agama allah iman kelak allah pahala iman
4:147,allah siksa syukur iman allah maha syukur maha
4:148,allah suka kata buruk terang kecuali orang zalim allah maha dengar maha
4:149,kebaji sembunyi maaf salah orang sungguh allah maha maaf mahakuasa
4:150,sungguh ingkar allah iman allah iman ingkar ambil jalan iman kafir
4:151,kafir sedia kafir azab hina
4:152,iman allah rasul kelak allah pahala allah maha kam maha sayang
4:153,ahli kitab kepada muhammad engkau turun kitab langit sungguh musa lihat allah sambar petir zalim sembah anak sapi nyata maaf musa kuasa nyata
4:154,angkat gunung sai kuat janji perintah masuk pintu gerbang baitulmaqdis sujud perintah langgar atur ambil janji kukuh
4:155,hukum langgar janji kafir allah bunuh hak alas hati allah kunci hati kafir iman
4:156,hukum kafir isa tuduh keji maryam
4:157,hukum ucap sungguh bunuh isa putra maryam rasul allah bunuh salib bunuh orang rupa isa sungguh selisih dapat bunuh isa bunuh bunuh ikut sangka belaka bunuh
4:158,allah angkat isa allah mahaperkasa mahabijaksana
4:159,ahli kitab iman isa jelang mati kiamat isa saksi
4:160,zalim yahudi haram makan halal halang orang jalan allah
4:161,jalan riba sungguh larang dari makan harta orang sah batil sedia kafir azab pedih
4:162,ilmu dalam iman iman turun kepada muhammad turun belum laksana salat tunai zakat iman allah pahala
4:163,sungguh wahyu kepada muhammad wahyu nuh telah wahyu ibrahim ismail ishak yakub anak cucu isa ayyub yunus harun sulaiman kitab zabur dawud
4:164,rasul kisah kepada rasul kisah kepada musa allah firman langsung
4:165,bawa berita gembira beri ingat alas manusia ban allah utus allah mahaperkasa mahabijaksana
4:166,allah saksi kepada muhammad turun malaikat saksi allah saksi
4:167,sungguh kafir orang jalan allah sesat
4:168,sungguh kafir zalim allah ampun jalan lurus
4:169,kecuali jalan neraka jahanam kekal dalam mudah allah
4:170,manusia sungguh rasul muhammad kepada bawa benar tuhan rim bagi kafir rugi allah sungguh milik langit bumi allah maha mahabijaksana
4:171,ahli kitab lampau batas agama allah kecuali sungguh isa putra maryam utus allah cipta maryam tiup roh rim allah tuhan henti ucap bagi sungguh allah tuhan maha esa mahasuci anggap anak langit bumi allah lindung
4:172,enggan hamba allah malaikat dekat allah barangsiapa enggan sombong allah kumpul
4:173,iman kebaji allah sempurna pahala tambah enggan sembah allah sombong allah azab azab pedih lindung tolong allah
4:174,manusia sungguh kepada bukti benar tuhan muhammad mukjizat turun kepada cahaya terang benderang
4:175,iman allah pegang teguh agama allah masuk rahmat karunia surga jalan lurus
4:176,fatwa kepada kala allah fatwa kepada kala mati anak saudara perempuan bagi saudara perempuan dua harta tinggal saudara waris harta saudara perempuan anak saudara perempuan orang tiga harta tinggal ahli waris perempuan saudara saudara perempuan allah terang hukum kepada sesat allah maha
5:1,iman penuh hewan ternak halal bagi kecuali kepada halal buru ihram haji umrah sungguh allah tetap hukum sesuai hendak
5:2,iman langgar suci allah langgar hormat haram ganggu hadyu kurban kurban tanda ganggu unjung baitulharam cari karunia rida tuhan selesai ihram buru benci mu kaum masjidilharam dorong buat lampau batas kebaji takwa buat dosa musuh takwa allah sungguh allah berat
5:3,haram bagi makan bangkai darah daging babi daging hewan sembelih nama allah cekik pukul jatuh tanduk terkam binatang buas kecuali sembelih haram sembelih berhala haram undi nasib azlam anak panah buat fasik kafir putus asa kalah agama takut takut sempurna agama untuk cukup bagi rida islam agama barangsiapa paksa lapar buat dosa sungguh allah maha kam maha sayang
5:4,kepada muhammad halal halal bagi makan buru tangkap binatang buru latih buru latih ajar allah kepada makan tangkap untuk nama allah lepas takwa allah sungguh allah cepat
5:5,halal bagi makan sembelih ahli kitab halal bagi makan halal halal bagi nikah jaga hormat iman jaga hormat kitab bayar maskawin nikah maksud zina jadi perempuan piara barangsiapa kafir iman sungguh amal akhirat rugi
5:6,iman laksana salat basuh wajah tangan siku sapu kepala basuh kaki mata kaki junub mandi sakit jalan buang air kakus sentuh perempuan oleh air tayamum debu suci usap wajah tangan debu allah sulit bersih sempurna bagi syukur
5:7,ingat karunia allah kepada ikat kepada dengar takwa allah sungguh allah maha isi hati
5:8,iman tegak adil allah saksi adil benci kaum dorong laku adil laku adil adil takwa takwa allah sungguh allah mahateliti kerja
5:9,allah janji iman amal saleh ampun pahala
5:10,kafir dusta huni neraka
5:11,iman ingat nikmat allah kepada kaum serang tangan allah tahan tangan takwa allah iman tawakal
5:12,sungguh allah ambil janji bani israil angkat belas orang pimpin allah firman sungguh laksana salat tunai zakat iman bantu pinjam allah pinjam hapus masuk surga alir bawah barangsiapa kafir antara sungguh sesat jalan lurus
5:13,langgar janji laknat jadi hati keras batu suka ubah firman allah tempat sengaja lupa pesan ingat engkau muhammad senantiasa khianat kecuali kelompok khianat maaf biar sungguh allah suka buat
5:14,orang nasrani ambil janji sengaja lupa pesan ingat timbul musuh benci kiamat kelak allah berita kerja
5:15,ahli kitab sungguh rasul kepada kepada isi kitab sembunyi biar sungguh kepada cahaya allah kitab
5:16,kitab allah tunjuk orang ikut jalan selamat kitab allah keluar orang gelap gulita cahaya jalan lurus
5:17,sungguh kafir orang sungguh allah putra muhammad hendak allah binasa putra maryam serta ibu manusia bumi milik raja langit bumi cipta hendak allah mahakuasa
5:18,orang yahudi nasrani allah allah siksa manusia cipta ampun hendak siksa hendak milik allah raja langit bumi
5:19,ahli kitab sungguh rasul kepada syariat kepada putus kirim bawa berita gembira beri sungguh kepada bawa berita gembira beri ingat allah mahakuasa
5:20,ingat musa kaum kaum ingat nikmat allah kepada angkat antara jadi merdeka umat
5:21,kaum masuk tanah suci palestina tentu allah bagi balik takut musuh orang rugi
5:22,musa sungguh negeri kuat kejam masuk dari niscaya masuk
5:23,kata orang takwa nikmat allah serbu pintu gerbang negeri masuk niscaya menang tawakal allah iman
5:24,musa masuk dalam pergi engkau tuhan rang dua biar
5:25,musa ya tuhan kuasa diri saudara pisah fasik
5:26,allah firman negeri larang puluh embara bingung bumi musa sedih hati pikir nasib fasik
5:27,cerita muhammad kisah putra adam sembah kurban kurban salah dua habil terima qabil terima qabil sungguh bunuh habil sungguh allah terima amal orang takwa
5:28,sungguh engkau qabil gerak tangan kepada bunuh gerak tangan kepada bunuh takut allah tuhan alam
5:29,sungguh engkau bawa dosa bunuh ku dosa engkau huni neraka balas orang zalim
5:30,nafsu qabil dorong bunuh saudara bunuh orang rugi
5:31,allah utus ekor burung gagak gali tanah qabil kubur mayat saudara qabil oh celaka buat burung gagak kubur mayat saudara orang sesal
5:32,tetap hukum bani israil barangsiapa bunuh orang bunuh orang buat rusa bumi bunuh manusia barangsiapa pelihara hidup manusia pelihara hidup manusia sungguh rasul bawa lampau batas bumi
5:33,hukum rang allah rusa bumi bunuh salib potong tangan kaki silang asing diam hina dunia akhirat azab
5:34,kecuali tobat kuasa tahu allah maha kam maha sayang
5:35,iman takwa allah cari wasilah jalan dekat jihad juang untung
5:36,sungguh kafir anda milik bumi tambah tebus azab kiamat niscaya tebus terima azab pedih
5:37,neraka azab kekal
5:38,orang perempuan curi potong tangan balas buat laku siksa allah allah mahaperkasa mahabijaksana
5:39,barangsiapa tobat jahat baik sungguh allah terima tobat sungguh allah maha kam maha sayang
5:40,allah milik raja langit bumi siksa hendak ampun hendak allah mahakuasa
5:41,rasul muhammad engkau sedih kafir munafik mulut iman hati iman yahudi suka dengar bohong suka dengar orang kepada ubah taurat makna kepada ubah terima barangsiapa hendak allah biar sesat engkau tolak allah tolong hendak allah suci hati dunia hina akhirat azab
5:42,suka dengar berita bohong makan makan haram orang yahudi kepada muhammad putus ilah putus paling engkau paling bahaya engkau putus perkara putus adil sungguh allah suka adil
5:43,angkat hakim taurat dalam hukum allah paling putus sungguh iman
5:44,sungguh turun kitab taurat dalam tunjuk cahaya kitab nabi serah allah putus perkara orang yahudi ulama perintah pelihara allah saksi takut manusia takut jual harga murah barangsiapa putus turun allah kafir
5:45,tetap dalam taurat nyawa balas nyawa mata mata hidung hidung telinga telinga gigi gigi balas barangsiapa lepas hak qisas nya tebus dosa bagi barangsiapa putus perkara turun allah zalim
5:46,terus jejak utus isa putra maryam benar kitab taurat turun injil dalam tunjuk cahaya benar kitab taurat tunjuk ajar takwa
5:47,ikut injil putus perkara turun allah dalam barangsiapa putus perkara turun allah fasik
5:48,turun kitab kepada muhammad bawa benar benar turun jaga putus perkara turun allah engkau ikut tinggal benar kepada umat atur jalan terang allah niscaya umat allah uji karunia kepada buat kebaji allah kepada selisih
5:49,engkau putus perkara turun allah engkau ikut waspada daya engkau turun allah kepada paling hukum turun allah tahu sungguh allah timpa musibah sebab sungguh banyak manusia fasik
5:50,hukum jahiliah hendak hukum hukum allah agama
5:51,iman jadi orang yahudi nasrani teman setia mu lindung barangsiapa jadi teman setia sungguh golong sungguh allah tunjuk zalim
5:52,hati sakit dekat yahudi nasrani seraya takut allah menang putus sesal rahasia
5:53,iman orang sumpah nama allah serta amal orang rugi
5:54,iman barangsiapa murtad agama kelak allah kaum cinta sikap lemah lembut iman sikap keras kafir jihad jalan allah takut cela orang suka cela karunia allah hendak allah mahaluas maha
5:55,sungguh tolong allah iman laksana salat tunai zakat seraya tunduk allah
5:56,barangsiapa jadi allah iman tolong sungguh ikut agama allah menang
5:57,iman jadi pimpin agama bahan ejek main kitab belum kafir orang musyrik takwa allah iman
5:58,seru laksana salat jadi bahan ejek main erti
5:59,ahli kitab pandang salah iman allah turun turun sungguh banyak fasik
5:60,muhammad berita kepada orang buruk balas orang fasik sisi allah orang laknat murka allah jadi kera babi orang sembah buruk tempat sesat jalan lurus
5:61,yahudi munafik kepada iman kepada kafir pergi allah sembunyi
5:62,orang yahudi lomba buat dosa musuh makan haram sungguh buruk buat
5:63,ulama pendeta larang kata bohong makan haram sungguh buruk buat
5:64,yahudi tangan allah tangan belenggu laknat sebab tangan allah buka rezeki hendak turun kepada tuhan tambah durhaka kafir banyak timbul musuh benci kiamat nyala api peperangan allah madam usaha timbul rusa bumi allah suka buat rusa
5:65,ahli kitab iman takwa niscaya hapus masuk penuh nikmat
5:66,jalan hukum taurat injil turun tuhan niscaya makan kaki kelompok jujur taat buruk kerja
5:67,rasul sampai turun tuhan kepada engkau laku perintah engkau allah pelihara engkau ganggu manusia sungguh allah tunjuk kafir
5:68,muhammad ahli kitab pandang agama tegak taurat injil turun tuhan turun tuhan kepada durhaka ingkar engkau putus asa kafir
5:69,sungguh iman yahudi shabiin nasrani barangsiapa iman allah buat kebaji khawatir sedih hati
5:70,sungguh ambil janji bani israil utus rasul bawa sesuai rasul dusta bunuh
5:71,bencana bunuh buta tuli allah terima tobat buta tuli allah maha kerja
5:72,sungguh kafir sungguh allah putra bani israil sembah allah tuhan sungguh barangsiapa sekutu allah sungguh allah haram surga bagi tempat neraka tolong zalim
5:73,sungguh kafir allah salah tuhan hak sembah tuhan esa henti kafir timpa azab pedih
5:74,tobat allah mohon ampun allah maha kam maha sayang
5:75,putra maryam rasul rasul ibu pegang teguh benar makan makan perhati kuasa ahli kitab perhati paling
5:76,muhammad sembah allah timbul bencana kepada manfaat allah maha dengar maha
5:77,muhammad ahli kitab agama ikut sesat sesat manusia sesat jalan lurus
5:78,kafir bani israil laknat lisan ucap dawud isa putra maryam durhaka lampau batas
5:79,cegah buat mungkar buat sungguh buruk buat
5:80,kafir musyrik sungguh buruk laku murka allah kekal azab
5:81,iman allah nabi muhammad turun niscaya jadi orang musyrik teman setia fasik
5:82,dapat orang keras musuh iman yahudi musyrik dapat orang sahabat iman sungguh orang pendeta rahib sombong
5:83,dengar turun rasul muhammad lihat mata cucur air mata sebab benar tahu seraya ya tuhan iman catat saksi benar nabi muhammad
5:84,iman allah benar tuhan masuk golong saleh
5:85,allah pahala kata ucap surga alir bawah kekal dalam balas buat baik
5:86,kafir dusta huni neraka
5:87,iman haram halal allah kepada lampau batas sungguh allah suka lampau batas
5:88,makan allah kepada rezeki halal takwa allah iman
5:89,allah hukum sebab sengaja sumpah hukum sebab sengaja kafarat denda langgar sumpah makan puluh orang miskin makan keluarga pakai merdeka hamba sahaya barangsiapa laku kafarat puasa kafarat sumpah jaga sumpah allah terang kepada syukur
5:90,iman sungguh minum keras judi kurban berhala undi nasib anak panah buat keji buat setan jauh untung
5:91,minum keras judi setan timbul musuh benci allah laksana salat henti
5:92,taat allah taat rasul paling tahu wajib rasul amanat
5:93,dosa iman kebaji makan takwa iman kebaji takwa iman takwa buat kebaji allah suka buat kebaji
5:94,iman allah uji hewan buru mudah oleh tangan tombak allah takut barangsiapa lampau batas azab pedih
5:95,iman bunuh hewan buru ihram haji umrah barangsiapa bunuh sengaja denda ganti hewan ternak padan buru bunuh putus orang adil hadyu bawa ka bah kafarat bayar tebus makan miskin puasa imbang makan keluar rasa akibat buruk buat allah maaf barangsiapa kerja niscaya allah siksa allah mahaperkasa milik kuasa siksa
5:96,halal bagi hewan buru laut makan asal laut makan lezat bagi jalan haram atas tangkap hewan darat ihram takwa allah kumpul
5:97,allah jadi ka bah rumah suci manusia kumpul haram hadyu allah langit bumi allah maha
5:98,tahu allah keras allah maha kam maha sayang
5:99,wajib rasul amanat allah allah tampak sembunyi
5:100,muhammad buruk banyak keburu tarik hati takwa allah akal sehat untung
5:101,iman nabi terang kepada susah tanya turun niscaya terang kepada allah maaf allah maha kam maha santun
5:102,sungguh golong manusia nabi kafir
5:103,allah syariat bahirah wasilah haam kafir dusta allah banyak erti
5:104,mari ikut turun allah ikut dapat nenek moyang kerja ikut nenek moyang nenek moyang tunjuk
5:105,iman jaga diri orang sesat bahaya tunjuk allah terang kepada kerja
5:106,iman salah hadap mati wasiat wasiat saksi orang adil orang agama jalan bumi timpa bahaya mati tahan saksi salat sumpah nama allah allah ambil untung sumpah karib kerabat sembunyi saksi allah sungguh dosa
5:107,bukti saksi buat dosa orang ganti duduk ahli waris hak orang mati sumpah nama allah sungguh saksi layak terima saksi saksi langgar batas sungguh buat zalim
5:108,patut saksi takut kembali sumpah ahli waris sumpah takwa allah dengar allah tunjuk fasik
